role,name,poli,State,twitterName,name,userNumber,followers,,,Important Comments,,
representative,Rep. Don Young,R,AK-0,@RepDonYoung,repdonyoung,37007274,17249,,,Patrick Meehan should be elected on Nov,,
representative,Rep. Bradley Byrne,R,AL-1,@RepByrne,RepByrne,2253968388,18554,,,,Webpage: ,https://advocacy.kidney.org/congressional-social-media-accounts/
representative,Rep. Martha Roby,R,AL-2,@RepMarthaRoby,RepMarthaRoby,224294785,30439,,,,,https://www.govtrack.us/congress/members
representative,Rep. Mike Rogers,R,AL-3,@RepMikeRogersAL,RepMikeRogersAL,33977070,22770,,,,,
representative,Rep. Robert Aderholt,R,AL-4,@Robert_Aderholt,Robert_Aderholt,76452765,22304,,,,,
representative,Rep. Mo Brooks,R,AL-5,@RepMoBrooks,RepMoBrooks,237299871,27150,,,Webpage:,https://advocacy.kidney.org/congressional-social-media-accounts/,
representative,Rep. Gary Palmer,R,AL-6,@USRepGaryPalmer,USRepGaryPalmer,2861616083,14527,,,,https://www.govtrack.us/congress/members,
representative,Rep. Terri Sewell,D,AL-7,@RepTerriSewell,RepTerriSewell,381152398,31963,,,,http://listafterlist.com/list-of-united-states-senators-twitter-accounts/,
representative,Rep. Eric Crawford,R,AR-1,@RepRickCrawford,RepRickCrawford,233693291,16518,,,,https://www.socialseer.com/resources/us-senator-twitter-accounts/,
representative,Rep. French Hill,R,AR-2,@RepFrenchHill,RepFrenchHill,2953974395,12232,,,,,
representative,Rep. Steve Womack,R,AR-3,@Rep_SteveWomack,rep_stevewomack,234469322,18304,,,,,
representative,Rep. Bruce Westerman,R,AR-4,@RepWesterman,RepWesterman,2852998461,8461,,,,,
representative,Rep. Tom O’Halleran,D,AZ-1,@repohalleran,RepOHalleran,8.08417E+17,7291,,,,,
representative,Rep. Martha McSally,R,AZ-2,@RepMcSally,RepMcSally,2964949642,33996,,,,,
representative,Rep. Raul Grijalva,D,AZ-3,@RepraulGrijalva,RepRaulGrijalva,28602948,31281,,,,,
representative,Rep. Paul Gosar,R,AZ-4,@RepGosar,RepGosar,240760644,41282,,,,,
representative,Rep. Andy Biggs,R,AZ-5,@RepAndyBiggsAZ,RepAndyBiggsAZ,8.16653E+17,12960,,,,,
representative,Rep. David Schweikert,R,AZ-6,@RepDavid,RepDavid,229197216,23794,,,,,
representative,Rep. Ruben Gallego,D,AZ-7,@RepRubenGallego,RepRubenGallego,2966570782,72023,,,,,
representative,Rep. Debbie Lesko,R,AZ-8,@DebbieLesko,DebbieLesko,34715823,8763,,,,,
representative,Rep. Kyrsten Sinema,D,AZ-9,@RepSinema,RepSinema,1080844782,32055,,,,,
representative,Rep. Doug LaMalfa,R,CA-1,@RepLaMalfa,RepLaMalfa,1069124515,15400,,,,,
representative,Rep. Jared Huffman,D,CA-2,@RepHuffman,RepHuffman,1071102246,26771,,,,,
representative,Rep. John Garamendi,D,CA-3,@RepGaramendi,RepGaramendi,88806753,25613,,,,,
representative,Rep. Tom McClintock,R,CA-4,@RepMcClintock,RepMcClintock,50152441,12904,,,,,
representative,Rep. Mike Thompson,D,CA-5,@RepThompson,RepThompson,303861808,23044,,,,,
representative,Rep. Doris Matsui,D,CA-6,@DorisMatsui,DorisMatsui,38254095,31526,,,,,
representative,Rep. Ami Bera,D,CA-7,@RepBera,RepBera,950783972,29057,,,,,
representative,Rep. Paul Cook,R,CA-8,@RepPaulCook,RepPaulCook,1074412920,13871,,,,,
representative,Rep. Jerry McNerney,D,CA-9,@RepMcNerney,RepMcNerney,385429543,20999,,,,,
representative,Rep. Jeff Denham,R,CA-10,@RepJeffDenham,RepJeffDenham,248699486,22873,,,,,
representative,Rep. Mark DeSaulnier,D,CA-11,@RepDeSaulnier,RepDeSaulnier,2968007206,12943,,,,,
representative,Rep. Nancy Pelosi,D,CA-12,@NancyPelosi,NancyPelosi,15764644,1639581,,,,,
representative,Rep. Barbara Lee,D,CA-13,@RepBarbaraLee,RepBarbaraLee,248735463,192512,,,,,
representative,Rep. Jackie Speier,D,CA-14,@RepSpeier,RepSpeier,24913074,123751,,,,,
representative,Rep. Eric Swalwell,D,CA-15,@RepSwalwell,RepSwalwell,942156122,359320,,,,,
representative,Rep. Jim Costa,D,CA-16,@RepJimCosta,RepJimCosta,245451804,16437,,,,,
representative,Rep. Ro Khanna,D,CA-17,@RepRoKhanna,RepRoKhanna,8.16299E+17,18787,,,,,
representative,Rep. Anna Eshoo,D,CA-18,@RepAnnaEshoo,RepAnnaEshoo,249348006,36713,,,,,
representative,Rep. Zoe Lofgren,D,CA-19,@RepZoeLofgren,RepZoeLofgren,267938462,35484,,,,,
representative,Rep. Jimmy Panetta,D,CA-20,@RepJimmyPanetta,RepJimmyPanetta,7.96737E+17,6607,,,,,
representative,Rep. David Valadao,R,CA-21,@RepDavidValadao,RepDavidValadao,1128514404,16388,,,,,
representative,Rep. Devin Nunes,R,CA-22,@RepDevinNunes,RepDevinNunes,344972339,31075,,,,,
representative,Rep. Kevin McCarthy,R,CA-23,@GOPLeader,GOPLeader,19739126,175010,,,,,
representative,Rep. Salud Carbajal,D,CA-24,@RepCarbajal,RepCarbajal,8.16158E+17,6909,,,,,
representative,Rep. Steve Knight,R,CA-25,@SteveKnight25,SteveKnight25,2974648323,5882,,,,,
representative,Rep. Julia Brownley,D,CA-26,@JuliaBrownley26,JuliaBrownley26,1243902714,14604,,,,,
representative,Rep. Judy Chu,D,CA-27,@RepJudyChu,RepJudyChu,193732179,57127,,,,,
representative,Rep. Adam Schiff,D,CA-28,@RepAdamSchiff,RepAdamSchiff,29501253,1030910,,,,,
representative,Rep. Tony Cardenas,D,CA-29,@RepCardenas,RepCardenas,1222257180,18002,,,,,
representative,Rep. Brad Sherman,D,CA-30,@BradSherman,BradSherman,30216513,38462,,,,,
representative,Rep. Pete Aguilar,D,CA-31,@reppeteaguilar,RepPeteAguilar,3018670151,9020,,,,,
